gene_id	A2_KO_1	A2_KO_2	A2_KO_3	WT_1	WT_2	WT_3
ENSG00000186092	0	0	0	0	2	0
ENSG00000284733	43	42	39	107	90	60
ENSG00000284662	43	41	37	107	88	60
ENSG00000187634	51	74	65	69	62	63
ENSG00000188976	11751	11104	10164	7542	5766	4793
ENSG00000187961	807	798	832	725	590	417
ENSG00000187583	238	246	300	183	161	150
ENSG00000187642	19	7	18	11	3	5
ENSG00000188290	506	481	514	446	285	416
ENSG00000187608	527	613	572	435	336	315
ENSG00000188157	3148	2975	3071	2758	2315	2610
ENSG00000237330	71	71	70	62	50	95
ENSG00000131591	583	543	517	504	413	313
ENSG00000162571	1	14	4	3	3	4
ENSG00000186891	336	364	348	203	132	182
ENSG00000186827	3	3	1	3	2	2
ENSG00000078808	3319	3156	3006	1968	1429	1495
ENSG00000176022	504	522	443	323	215	284
ENSG00000184163	4	14	12	9	7	11
ENSG00000160087	1635	1554	1456	1352	968	855
ENSG00000162572	37	41	40	38	47	46
ENSG00000131584	789	865	954	657	542	439
ENSG00000169972	622	577	520	365	269	267
ENSG00000127054	2424	2467	2389	1771	1525	1423
ENSG00000224051	359	305	347	182	159	155
ENSG00000169962	4	4	5	2	3	2
ENSG00000107404	2648	2480	2427	1523	1174	1432
ENSG00000162576	1	4	2	4	1	0
ENSG00000175756	1553	1521	1445	969	712	613
ENSG00000221978	5564	5595	6070	4897	4519	4507
ENSG00000242485	1576	1404	1521	1033	872	654
ENSG00000235098	0	2	2	0	1	0
ENSG00000205116	0	0	1	0	1	0
ENSG00000179403	1152	1026	1056	592	477	269
ENSG00000215915	97	118	93	108	92	75
ENSG00000160072	3769	3487	3455	3187	2655	1891
ENSG00000197785	3700	3452	3168	2577	1911	1432
ENSG00000205090	24	18	26	18	17	13
ENSG00000160075	2868	2658	2852	2033	1823	1410
ENSG00000228594	66	66	77	50	42	41
ENSG00000197530	1124	1219	1220	663	690	715
ENSG00000189409	52	65	64	51	49	22
ENSG00000248333	3933	3590	3472	3114	2471	1845
ENSG00000189339	2609	2605	2968	1857	1713	1833
ENSG00000008128	292	329	382	285	233	177
ENSG00000008130	2055	1914	1836	1617	1287	1201
ENSG00000078369	7183	7228	7417	5242	4509	4327
ENSG00000169885	14	5	16	14	17	19
ENSG00000178821	160	178	195	109	78	85
ENSG00000142609	102	112	138	77	82	172
ENSG00000187730	275	230	262	133	95	105
ENSG00000067606	1413	1427	1412	1035	828	759
